ts,cloud_latency_ms,cpu_pct,mem_pct
1757809771,3.05557251,4.7,2.8
1757809771,2.960681915,4.7,2.8
1757809771,3.039836884,2.8,2.8
1757809771,2.876281738,5.6,2.8
1757809771,2.96163559,5.2,2.8
1757809771,2.995491028,3.3,2.8
1757809771,2.885818481,4.3,2.8
1757809771,2.922058105,4.6,2.8
1757809771,2.977132797,3.3,2.8
1757809771,2.925634384,4.7,2.8
1757809771,2.999782562,5.5,2.8
1757809771,2.907037735,2.8,2.8
1757809771,2.931833267,5.1,2.8
1757809772,2.862453461,4.2,2.8
1757809772,2.933263779,3.8,2.8
1757809772,2.967357635,4.7,2.8
1757809772,3.027677536,4.2,2.8
1757809772,2.972602844,3.3,2.8
1757809772,2.897977829,4.3,2.8
1757809772,2.964735031,4.7,2.8
1757809772,2.877235413,2.9,2.8
1757809772,3.019094467,4.7,2.8
1757809772,2.929210663,11.9,2.8
1757809772,2.951145172,5.4,2.8
1757809772,2.894639969,4.7,2.8
1757809772,2.926588058,4.2,2.8
1757809772,2.845287323,3.8,2.8
1757809772,2.962827682,4.2,2.8
1757809773,2.819776535,4.6,2.8
1757809773,3.027677536,3.3,2.8
1757809773,2.89773941,5.1,2.8
1757809773,2.875566483,4.2,2.8
1757809773,2.828836441,3.3,2.8
1757809773,2.822875977,4.2,2.8
1757809773,2.935171127,4.7,2.8
1757809773,2.864599228,2.8,2.8
1757809773,2.83074379,5.1,2.8
1757809773,3.036737442,4.7,2.8
1757809773,2.935886383,3.8,2.8
1757809773,2.880573273,5.2,2.8
1757809773,3.007650375,3.8,2.8
1757809773,2.905607224,3.8,2.8
1757809773,2.803325653,4.2,2.8
1757809774,2.840995789,4.7,2.8
1757809774,2.881526947,2.8,2.8
1757809774,2.841472626,4.7,2.8
1757809774,2.944469452,6,2.8
1757809774,2.890348434,2.8,2.8
1757809774,2.938747406,4.7,2.8
1757809774,3.000736237,4.7,2.8
1757809774,2.885580063,3.3,2.8
1757809774,2.859830856,3.8,2.8
1757809774,2.850055695,4.7,2.8
1757809774,2.825021744,4.2,2.8
1757809774,2.871990204,5.6,2.8
1757809774,2.91800499,4.2,2.8
1757809774,2.816677094,3.7,2.8
1757809774,2.876281738,4.7,2.8
1757809775,2.80714035,4.7,2.8
1757809775,2.884149551,3.3,2.8
1757809775,2.804994583,5.6,2.8
1757809775,2.914190292,4.2,2.8
1757809775,2.900123596,4.2,2.8
1757809775,2.872467041,4.2,2.8
1757809775,2.830982208,3.8,2.8
1757809775,2.720832825,3.3,2.8
1757809775,2.775430679,5.6,2.8
1757809775,2.832889557,3.3,2.8
1757809775,2.933979034,4.2,2.8
1757809775,2.83074379,4.2,2.8
1757809775,2.883195877,5.1,2.8
1757809775,2.814292908,3.3,2.8
1757809775,2.794981003,5,2.8
1757809776,2.809762955,3.9,2.8
1757809776,2.944469452,3.3,2.8
1757809776,2.794265747,4.7,2.8
1757809776,2.816915512,4.7,2.8
1757809776,2.908706665,3.3,2.8
1757809776,2.865791321,5.1,2.8
1757809776,2.912521362,4.2,2.8
1757809776,2.774238586,3.3,2.8
1757809776,2.715826035,4.2,2.8
1757809776,2.876996994,5.1,2.8
1757809776,2.860784531,3.3,2.8
1757809776,2.82907486,5.6,2.8
1757809776,2.917289734,3.3,2.8
1757809776,2.840518951,4.2,2.8
1757809776,2.876520157,4.2,2.8
1757809777,2.887487411,5.1,2.8
1757809777,2.879619598,3.3,2.8
1757809777,2.83741951,5.6,2.8
1757809777,2.876281738,4.7,2.8
1757809777,2.880334854,2.8,2.8
1757809777,2.867937088,4.7,2.8
1757809777,2.894878387,5.6,2.8
1757809777,2.89440155,2.8,2.8
1757809777,2.892971039,4.7,2.8
1757809777,2.979516983,5,2.8
1757809777,2.903223038,2.9,2.8
1757809777,2.957105637,4.6,2.8
1757809777,2.87270546,3.8,2.8
1757809777,2.847909927,2.9,2.8
1757809777,2.868413925,5.5,2.8
1757809778,2.889633179,5.1,2.8
1757809778,2.968788147,3.3,2.8
1757809778,2.804994583,5.1,2.8
1757809778,2.84910202,4.7,2.8
1757809778,2.892255783,2.3,2.8
1757809778,2.851009369,5.3,2.8
1757809778,2.887010574,3.7,2.8
1757809778,2.94137001,3.8,2.8
1757809778,2.873182297,4.7,2.8
1757809778,2.933740616,4.7,2.8
1757809778,2.890110016,3.8,2.8
1757809778,2.806901932,5.5,2.8
1757809778,2.89273262,5.1,2.8
1757809778,2.74515152,2.9,2.8
1757809778,2.802848816,4.6,2.8
1757809779,2.80547142,5.6,2.8
1757809779,2.852916718,3.3,2.8
1757809779,2.907276154,4.2,2.8
1757809779,2.892255783,5.1,2.8
1757809779,2.937793732,3.8,2.8
1757809779,2.786636353,5.2,2.8
1757809779,2.930879593,5.5,2.8
1757809779,2.851486206,2.8,2.8
1757809779,2.867937088,5.1,2.8
1757809779,2.866506577,3.8,2.8
1757809779,2.960681915,3.3,2.8
1757809779,3.000736237,5.6,2.8
1757809779,3.215312958,6,2.8
1757809779,3.181695938,3.3,2.8
1757809779,2.864837646,4.7,2.8
1757809780,2.983570099,4.6,2.8
1757809780,2.936601639,3.3,2.8
1757809780,2.887248993,4.2,2.8
1757809780,2.939462662,5.2,2.8
1757809780,3.008127213,3.3,2.8
1757809780,3.080368042,5,2.8
1757809780,2.904653549,5.1,2.8
1757809780,2.926588058,3.8,2.8
1757809780,2.803564072,4.2,2.8
1757809780,2.801179886,5.1,2.8
1757809780,2.832889557,2.9,2.8
1757809780,2.747297287,5.1,2.8
1757809780,2.832174301,3.3,2.8
1757809780,2.797365189,3.3,2.8
1757809780,2.747535706,4.7,2.8
1757809781,2.750396729,4.6,2.8
1757809781,2.881765366,3.8,2.8
1757809781,2.67791748,4.6,2.8
1757809781,2.798557281,5.1,2.8
1757809781,2.883434296,2.4,2.8
1757809781,2.789974213,5,2.8
1757809781,2.915143967,5.2,2.8
1757809781,2.785921097,3.7,2.8
1757809781,2.800226212,4.7,2.8
1757809781,2.911806107,4.7,2.8
1757809781,2.82907486,3.3,2.8
1757809781,2.72321701,4.6,2.8
1757809781,2.847194672,4.2,2.8
1757809781,2.812862396,2.9,2.8
1757809781,2.723932266,5.1,2.8
1757809782,2.754926682,5.1,2.8
1757809782,2.80714035,2.9,2.8
1757809782,2.728700638,4.2,2.8
1757809782,2.865314484,5.1,2.8
1757809782,2.838134766,3.8,2.8
1757809782,2.70986557,4.6,2.8
1757809782,2.817392349,4.5,2.8
1757809782,2.762556076,4.3,2.8
1757809782,2.819299698,4.3,2.8
1757809782,3.262281418,10,2.8
1757809782,2.892255783,6.4,2.8
1757809782,2.757072449,4.6,2.8
1757809782,2.674102783,5.1,2.8
1757809782,2.67291069,4.8,2.8
1757809782,2.650260925,5.5,2.8
1757809783,2.744913101,4.7,2.8
1757809783,2.884864807,3.3,2.8
1757809783,2.653121948,4.7,2.8
1757809783,2.85243988,3.7,2.8
1757809783,2.743959427,2.8,2.8
1757809783,2.789497375,5.2,2.8
1757809783,2.750635147,3.7,2.8
1757809783,2.80547142,3.3,2.8
1757809783,2.697229385,4.7,2.8
1757809783,2.844572067,4.2,2.8
1757809783,2.791166306,4.7,2.8
1757809783,2.74348259,4.2,2.8
1757809783,2.860784531,4.2,2.8
1757809783,2.886533737,3.3,2.8
1757809783,2.874135971,5,2.8
1757809784,2.832651138,4.7,2.8
1757809784,3.026723862,3.7,2.8
1757809784,2.813816071,5.6,2.8
1757809784,2.859592438,4.2,2.8
1757809784,2.861022949,3.3,2.8
1757809784,2.870798111,5.1,2.8
1757809784,2.894163132,4.7,2.8
1757809784,2.922534943,3.3,2.8
1757809784,2.847909927,4.7,2.8
1757809784,2.930641174,4.6,2.8
1757809784,2.947807312,4.7,2.8
1757809784,2.735853195,4.7,2.8
1757809784,2.87604332,3.7,2.8
1757809784,2.784252167,3.3,2.8
1757809784,2.80046463,4.7,2.8
1757809785,2.814531326,4.2,2.8
1757809785,2.863407135,2.9,2.8
1757809785,2.872943878,5.5,2.8
1757809785,2.946138382,4.6,2.8
1757809785,2.796173096,3.4,2.8
1757809785,2.940416336,3.8,2.8
1757809785,2.852678299,4.6,2.8
