ts,stage,frame_id,dt_ms,fps,cpu_pct,mem_pct,forwarded
1757771818.939,capture,48,2.1,,2.5,2.5,48
1757771818.948,detect,48,9.4,,16.1,2.5,48
1757771818.948,sample_decision,48,0.0,,0.0,2.5,48
1757771818.973,capture,49,1.7,,2.6,2.5,49
1757771818.983,detect,49,9.5,,12.9,2.5,49
1757771818.983,sample_decision,49,0.0,,0.0,2.5,49
1757771819.007,capture,50,1.9,,3.8,2.5,50
1757771819.017,detect,50,9.5,,15.6,2.5,50
1757771819.017,sample_decision,50,0.0,,0.0,2.5,50
1757771819.042,capture,51,2.2,,2.5,2.5,51
1757771819.052,detect,51,9.5,,13.3,2.5,51
1757771819.052,sample_decision,51,0.0,,0.0,2.5,51
1757771819.077,capture,52,1.8,,4.9,2.5,52
1757771819.086,detect,52,9.5,,13.3,2.5,52
1757771819.086,sample_decision,52,0.0,,0.0,2.5,52
1757771819.111,capture,53,1.8,,3.8,2.5,53
1757771819.121,detect,53,9.7,,15.2,2.5,53
1757771819.121,sample_decision,53,0.0,,0.0,2.5,53
1757771819.146,capture,54,1.7,,3.7,2.5,54
1757771819.155,detect,54,9.5,,10.3,2.5,54
1757771819.155,sample_decision,54,0.0,,0.0,2.5,54
1757771819.180,capture,55,2.2,,3.8,2.5,55
1757771819.190,detect,55,9.3,,16.7,2.5,55
1757771819.190,sample_decision,55,0.0,,0.0,2.5,55
1757771819.214,capture,56,2.1,,2.6,2.5,56
1757771819.224,detect,56,9.7,,17.6,2.5,56
1757771819.225,sample_decision,56,0.0,,0.0,2.5,56
1757771819.249,capture,57,1.7,,2.6,2.5,57
1757771819.259,detect,57,9.5,,10.3,2.5,57
1757771819.259,sample_decision,57,0.0,,0.0,2.5,57
1757771819.284,capture,58,1.9,,3.7,2.5,58
1757771819.293,detect,58,9.4,,16.1,2.5,58
1757771819.294,sample_decision,58,0.0,,0.0,2.5,58
1757771819.318,capture,59,2.3,,6.1,2.5,59
1757771819.328,detect,59,9.3,,13.8,2.5,59
1757771819.328,sample_decision,59,0.0,,0.0,2.5,59
1757771819.354,capture,60,2.4,,2.4,2.5,60
1757771819.364,detect,60,9.5,,12.9,2.5,60
1757771819.364,sample_decision,60,0.0,,0.0,2.5,60
1757771819.389,capture,61,2.0,,4.9,2.5,61
1757771819.399,detect,61,9.5,,13.3,2.5,61
1757771819.399,sample_decision,61,0.0,,0.0,2.5,61
1757771819.424,capture,62,2.3,,2.5,2.5,62
1757771819.434,detect,62,9.5,,13.3,2.5,62
1757771819.434,sample_decision,62,0.0,,0.0,2.5,62
1757771819.458,capture,63,1.8,,2.6,2.5,63
1757771819.468,detect,63,9.5,,12.9,2.5,63
1757771819.468,sample_decision,63,0.0,,50.0,2.5,63
1757771819.493,capture,64,1.9,,2.6,2.5,64
1757771819.502,detect,64,9.3,,13.3,2.5,64
1757771819.502,sample_decision,64,0.0,,0.0,2.5,64
1757771819.527,capture,65,1.7,,2.6,2.5,65
1757771819.537,detect,65,9.6,,16.1,2.5,65
1757771819.537,sample_decision,65,0.0,,0.0,2.5,65
1757771819.561,capture,66,1.7,,3.9,2.5,66
1757771819.571,detect,66,9.7,,9.7,2.5,66
1757771819.571,sample_decision,66,0.0,,0.0,2.5,66
1757771819.596,capture,67,2.2,,3.7,2.5,67
1757771819.606,detect,67,9.4,,16.1,2.5,67
1757771819.606,sample_decision,67,0.0,,0.0,2.5,67
1757771819.630,capture,68,2.1,,2.5,2.5,68
1757771819.640,detect,68,9.5,,13.3,2.5,68
1757771819.640,sample_decision,68,0.0,,0.0,2.5,68
1757771819.665,capture,69,2.1,,4.9,2.5,69
1757771819.675,detect,69,9.8,,10.0,2.5,69
1757771819.675,sample_decision,69,0.0,,0.0,2.5,69
1757771819.701,capture,70,1.7,,3.7,2.5,70
1757771819.711,detect,70,9.6,,12.9,2.5,70
1757771819.711,sample_decision,70,0.0,,0.0,2.5,70
1757771819.735,capture,71,2.1,,3.8,2.5,71
1757771819.745,detect,71,9.4,,18.2,2.5,71
1757771819.745,sample_decision,71,0.0,,0.0,2.5,71
1757771819.771,capture,72,2.5,,1.2,2.5,72
1757771819.781,detect,72,9.6,,15.6,2.5,72
1757771819.781,sample_decision,72,0.0,,0.0,2.5,72
1757771819.805,capture,73,2.2,,3.8,2.5,73
1757771819.815,detect,73,9.5,,13.3,2.5,73
1757771819.815,sample_decision,73,0.0,,0.0,2.5,73
1757771819.841,capture,74,2.8,,3.7,2.5,74
1757771819.851,detect,74,9.5,,10.0,2.5,74
1757771819.851,sample_decision,74,0.0,,0.0,2.5,74
1757771819.876,capture,75,1.9,,3.7,2.5,75
1757771819.886,detect,75,9.7,,12.9,2.5,75
1757771819.886,sample_decision,75,0.0,,0.0,2.5,75
1757771819.910,capture,76,1.7,,2.6,2.5,76
1757771819.920,detect,76,9.5,,10.0,2.5,76
1757771819.920,sample_decision,76,0.0,,0.0,2.5,76
1757771819.946,capture,77,2.4,,3.7,2.5,77
1757771819.955,detect,77,9.5,,13.3,2.5,77
1757771819.955,sample_decision,77,0.0,,0.0,2.5,77
1757771819.981,capture,78,1.9,,3.7,2.5,78
1757771819.990,detect,78,9.6,,12.9,2.5,78
1757771819.991,sample_decision,78,0.0,,0.0,2.5,78
1757771820.016,capture,79,2.0,,3.6,2.5,79
1757771820.026,detect,79,9.6,,10.0,2.5,79
1757771820.026,sample_decision,79,0.0,,0.0,2.5,79
1757771820.051,capture,80,1.7,,3.8,2.5,80
1757771820.060,detect,80,9.4,,16.1,2.5,80
1757771820.061,sample_decision,80,0.0,,0.0,2.5,80
1757771820.085,capture,81,2.0,,3.8,2.5,81
1757771820.095,detect,81,9.6,,12.5,2.5,81
1757771820.095,sample_decision,81,0.0,,0.0,2.5,81
1757771820.121,capture,82,3.0,,2.4,2.5,82
1757771820.131,detect,82,9.4,,13.8,2.5,82
1757771820.131,sample_decision,82,0.0,,0.0,2.5,82
1757771820.158,capture,83,1.9,,5.6,2.5,83
1757771820.168,detect,83,9.4,,16.1,2.5,83
1757771820.168,sample_decision,83,0.0,,0.0,2.5,83
1757771820.193,capture,84,1.9,,2.5,2.5,84
1757771820.203,detect,84,9.5,,12.9,2.5,84
1757771820.203,sample_decision,84,0.0,,0.0,2.5,84
1757771820.228,capture,85,2.2,,3.8,2.5,85
1757771820.237,detect,85,9.6,,15.6,2.5,85
1757771820.238,sample_decision,85,0.0,,0.0,2.5,85
1757771820.265,capture,86,3.5,,3.4,2.5,86
1757771820.274,detect,86,9.3,,13.3,2.5,86
1757771820.274,sample_decision,86,0.0,,0.0,2.5,86
1757771820.301,capture,87,2.7,,5.9,2.5,87
1757771820.310,detect,87,9.3,,13.3,2.5,87
1757771820.310,sample_decision,87,0.0,,0.0,2.5,87
1757771820.335,capture,88,1.8,,3.8,2.5,88
1757771820.345,detect,88,9.4,,12.9,2.5,88
1757771820.345,sample_decision,88,0.0,,0.0,2.5,88
1757771820.369,capture,89,2.1,,3.8,2.5,89
1757771820.378,detect,89,9.4,,12.9,2.5,89
1757771820.379,sample_decision,89,0.0,,0.0,2.5,89
1757771820.405,capture,90,2.7,,2.4,2.5,90
1757771820.414,detect,90,9.5,,12.9,2.5,90
1757771820.414,sample_decision,90,0.0,,0.0,2.5,90
1757771820.443,capture,91,1.9,,4.3,2.5,91
1757771820.452,detect,91,9.4,,13.3,2.5,91
1757771820.452,sample_decision,91,0.0,,0.0,2.5,91
1757771820.479,capture,92,2.4,,3.5,2.5,92
1757771820.489,detect,92,9.6,,18.2,2.5,92
1757771820.489,sample_decision,92,0.0,,0.0,2.5,92
1757771820.515,capture,93,1.9,,3.7,2.5,93
1757771820.524,detect,93,9.4,,13.3,2.5,93
1757771820.524,sample_decision,93,0.0,,50.0,2.5,93
1757771820.551,capture,94,2.3,,2.4,2.5,94
1757771820.560,detect,94,9.4,,12.5,2.5,94
1757771820.561,sample_decision,94,0.0,,0.0,2.5,94
1757771820.584,capture,95,1.6,,2.6,2.5,95
1757771820.594,detect,95,9.3,,13.3,2.5,95
1757771820.594,sample_decision,95,0.0,,0.0,2.5,95
1757771820.619,capture,96,1.6,,2.6,2.5,96
1757771820.628,detect,96,9.4,,10.0,2.5,96
1757771820.628,sample_decision,96,0.0,,0.0,2.5,96
1757771820.654,capture,97,2.2,,2.4,2.5,97
1757771820.664,detect,97,9.4,,13.3,2.5,97
1757771820.664,sample_decision,97,0.0,,0.0,2.5,97
1757771820.689,capture,98,2.2,,4.9,2.5,98
1757771820.699,detect,98,9.5,,10.0,2.5,98
1757771820.699,sample_decision,98,0.0,,0.0,2.5,98
1757771820.724,capture,99,2.0,,2.5,2.5,99
1757771820.734,detect,99,10.1,,15.2,2.5,99
1757771820.734,sample_decision,99,0.0,,0.0,2.5,99
1757771820.758,capture,100,1.6,,2.6,2.5,100
1757771820.768,detect,100,9.4,,13.3,2.5,100
1757771820.768,sample_decision,100,0.0,,0.0,2.5,100
1757771820.793,capture,101,1.9,,3.8,2.5,101
1757771820.802,detect,101,9.5,,10.0,2.5,101
1757771820.803,sample_decision,101,0.0,,0.0,2.5,101
1757771820.828,capture,102,2.4,,3.7,2.5,102
1757771820.837,detect,102,9.3,,19.4,2.5,102
1757771820.837,sample_decision,102,0.0,,0.0,2.5,102
1757771820.863,capture,103,2.2,,4.9,2.5,103
1757771820.873,detect,103,9.6,,15.6,2.5,103
1757771820.873,sample_decision,103,0.0,,0.0,2.5,103
1757771820.898,capture,104,2.2,,3.7,2.5,104
1757771820.908,detect,104,9.7,,12.9,2.5,104
1757771820.908,sample_decision,104,0.0,,0.0,2.5,104
1757771820.933,capture,105,1.9,,3.7,2.5,105
1757771820.943,detect,105,10.4,,12.1,2.5,105
1757771820.944,sample_decision,105,0.0,,0.0,2.5,105
1757771820.968,capture,106,2.1,,1.3,2.5,106
1757771820.978,detect,106,9.7,,15.6,2.5,106
1757771820.978,sample_decision,106,0.0,,0.0,2.5,106
1757771821.003,capture,107,2.3,,2.6,2.5,107
1757771821.012,detect,107,9.4,,16.1,2.5,107
1757771821.013,sample_decision,107,0.0,,0.0,2.5,107
1757771821.037,capture,108,1.9,,4.9,2.5,108
1757771821.047,detect,108,9.4,,10.3,2.5,108
1757771821.047,sample_decision,108,0.0,,0.0,2.5,108
1757771821.072,capture,109,2.1,,2.5,2.5,109
1757771821.082,detect,109,9.5,,18.7,2.5,109
1757771821.082,sample_decision,109,0.0,,0.0,2.5,109
1757771821.108,capture,110,2.1,,2.4,2.5,110
1757771821.117,detect,110,9.4,,18.7,2.5,110
1757771821.117,sample_decision,110,0.0,,0.0,2.5,110
1757771821.143,capture,111,1.9,,1.3,2.5,111
1757771821.152,detect,111,9.5,,16.1,2.5,111
1757771821.153,sample_decision,111,0.0,,0.0,2.5,111
1757771821.178,capture,112,1.9,,2.5,2.5,112
1757771821.187,detect,112,9.5,,12.9,2.5,112
1757771821.188,sample_decision,112,0.0,,0.0,2.5,112
1757771821.212,capture,113,1.9,,3.7,2.5,113
1757771821.222,detect,113,9.6,,12.9,2.5,113
1757771821.222,sample_decision,113,0.0,,0.0,2.5,113
1757771821.248,capture,114,2.4,,2.5,2.5,114
1757771821.257,detect,114,9.3,,18.7,2.5,114
1757771821.257,sample_decision,114,0.0,,0.0,2.5,114
1757771821.282,capture,115,1.9,,3.8,2.5,115
1757771821.291,detect,115,9.3,,13.8,2.5,115
1757771821.292,sample_decision,115,0.0,,0.0,2.5,115
1757771821.317,capture,116,1.9,,3.7,2.5,116
1757771821.327,detect,116,9.6,,12.9,2.5,116
1757771821.327,sample_decision,116,0.0,,0.0,2.5,116
1757771821.351,capture,117,2.3,,2.6,2.5,117
1757771821.361,detect,117,9.6,,15.6,2.5,117
1757771821.361,sample_decision,117,0.0,,0.0,2.5,117
1757771821.387,capture,118,2.3,,3.7,2.5,118
1757771821.396,detect,118,9.3,,13.3,2.5,118
1757771821.396,sample_decision,118,0.0,,0.0,2.5,118
1757771821.421,capture,119,2.1,,3.8,2.5,119
1757771821.431,detect,119,9.4,,10.3,2.5,119
1757771821.431,sample_decision,119,0.0,,0.0,2.5,119
1757771821.455,capture,120,2.3,,3.8,2.5,120
1757771821.465,detect,120,9.4,,18.7,2.5,120
1757771821.465,sample_decision,120,0.0,,0.0,2.5,120
1757771821.490,capture,121,1.9,,2.6,2.5,121
1757771821.499,detect,121,9.3,,13.3,2.5,121
1757771821.499,sample_decision,121,0.0,,0.0,2.5,121
1757771821.523,capture,122,1.9,,2.6,2.5,122
1757771821.533,detect,122,9.5,,15.6,2.5,122
1757771821.533,sample_decision,122,0.0,,0.0,2.5,122
1757771821.558,capture,123,2.5,,2.5,2.5,123
1757771821.568,detect,123,9.5,,12.9,2.5,123
1757771821.568,sample_decision,123,0.0,,0.0,2.5,123
1757771821.593,capture,124,2.5,,4.9,2.5,124
1757771821.602,detect,124,9.6,,12.9,2.5,124
1757771821.603,sample_decision,124,0.0,,0.0,2.5,124
1757771821.628,capture,125,2.0,,2.5,2.5,125
1757771821.639,detect,125,10.9,,14.3,2.5,125
1757771821.639,sample_decision,125,0.0,,0.0,2.5,125
1757771821.662,capture,126,1.9,,2.7,2.5,126
1757771821.672,detect,126,9.6,,12.9,2.5,126
1757771821.672,sample_decision,126,0.0,,0.0,2.5,126
1757771821.696,capture,127,1.7,,3.9,2.5,127
1757771821.706,detect,127,9.7,,15.2,2.5,127
1757771821.706,sample_decision,127,0.0,,0.0,2.5,127
1757771821.731,capture,128,2.2,,2.5,2.5,128
1757771821.741,detect,128,9.8,,18.2,2.5,128
1757771821.741,sample_decision,128,0.0,,0.0,2.5,128
1757771821.765,capture,129,1.9,,3.9,2.5,129
1757771821.775,detect,129,9.4,,12.9,2.5,129
1757771821.775,sample_decision,129,0.0,,0.0,2.5,129
1757771821.799,capture,130,1.9,,2.6,2.5,130
1757771821.809,detect,130,9.6,,15.6,2.5,130
1757771821.809,sample_decision,130,0.0,,0.0,2.5,130
